iter	Passed	Remaining
724	79019	29972
725	79121	29861
726	79230	29752
727	79335	29641
728	79442	29532
729	79561	29427
730	79659	29313
731	79775	29207
732	79869	29092
733	79973	28982
734	80086	28874
735	80191	28764
736	80310	28658
737	80410	28546
738	80513	28435
739	80634	28330
740	80729	28217
741	80829	28105
742	80953	28001
743	81062	27892
744	81166	27781
745	81262	27668
746	81369	27558
747	81466	27446
748	81583	27339
749	81707	27235
750	81817	27127
751	81918	27015
752	82024	26905
753	82143	26800
754	82250	26690
755	82355	26580
756	82454	26468
757	82559	26358
758	82698	26258
759	82804	26148
760	82907	26037
761	83019	25929
762	83120	25818
763	83255	25717
764	83367	25609
765	83477	25501
766	83573	25388
767	83666	25274
768	83803	25173
769	83912	25064
770	84014	24953
771	84117	24842
772	84235	24736
773	84333	24624
774	84441	24515
775	84540	24403
776	84653	24295
777	84789	24194
778	84912	24089
779	85034	23984
780	85152	23877
781	85264	23769
782	85373	23660
783	85470	23548
784	85585	23440
785	85702	23333
786	85810	23224
787	85942	23121
788	86043	23010
789	86147	22900
790	86250	22789
791	86378	22685
792	86483	22575
793	86584	22463
794	86696	22355
795	86791	22243
796	86939	22143
797	87041	22033
798	87155	21925
799	87266	21816
800	87398	21713
801	87530	21609
802	87648	21502
803	87779	21398
804	87895	21291
805	88036	21189
806	88135	21078
807	88243	20968
808	88345	20857
809	88454	20748
810	88560	20638
811	88660	20527
812	88760	20416
813	88865	20305
814	88965	20194
815	89102	20091
816	89204	19981
817	89298	19868
818	89399	19757
819	89518	19650
820	89629	19541
821	89725	19429
822	89830	19319
823	89938	19210
824	90044	19100
825	90161	18992
826	90272	18884
827	90372	18773
828	90470	18661
829	90585	18553
830	90686	18442
831	90787	18332
832	90901	18223
833	90996	18112
834	91104	18002
835	91241	17898
836	91355	17790
837	91466	17681
838	91585	17574
839	91690	17464
840	91790	17354
841	91912	17247
842	92020	17137
843	92124	17027
844	92271	16925
845	92375	16815
846	92480	16705
847	92573	16593
848	92704	16488
849	92814	16378
850	92936	16271
851	93036	16161
852	93142	16051
853	93266	15944
854	93377	15835
855	93467	15723
856	93573	15613
857	93675	15503
858	93784	15394
